fecha,anho,mes,dia,dia_semana,festivo
19/12/2015,2015,12,19,7,0
20/12/2015,2015,12,20,1,0
21/12/2015,2015,12,21,2,0
22/12/2015,2015,12,22,3,0
23/12/2015,2015,12,23,4,0
24/12/2015,2015,12,24,5,0
25/12/2015,2015,12,25,6,0
26/12/2015,2015,12,26,7,0
27/12/2015,2015,12,27,1,0
28/12/2015,2015,12,28,2,0
29/12/2015,2015,12,29,3,0
30/12/2015,2015,12,30,4,0
31/12/2015,2015,12,31,5,0
